Numero control Encuesta;Departamento;Tipo: H o R;Tamano;Sexo;Edad;Es jefe de hogar;Personas que dependen;Cuantos aportan al hog;Lugar nacimiento codigo;Otro pais. Especificar;Ano llego Uruguay ultima vez;Nivel educ formal;Alguno de los estudios que;Especifique si es otro;Realizo cursos rel con cargo;Han sido pagados por;Segunda opcion;Total horas de cursos;Tiene otro trabajo;Sector del otro trab;Especifique sin no es turismo;Tipo contrato;Termino del contrato;Especifique meses/u otro termino;Contrato por empresa para la que hace tarea;Esta en caja;Aporta por 100% salario;Si no en caja: goza benef;Tipo horario;Especifique tipo horario;Criterio dia libre;Horas que trabaja en la semana;Razon empleo es parcial;Especifique razon;Trabaja todos meses del ano;Cual es el motivo prinicpal por el que no trabaja todos los;Otro motivo. Especificar;En este empleo pertenece a un sindicato;Conoce usted los beneficios de la neg colect;Codigo Seccion o depto trabaja;Nombre seccion o depto donde trabaja;Codigo puesto/cargo de contrato;Nombre puesto/cargo de contrato;Realiza tareas diferentes puestos;Antiguedad ANOS;Si no tenia experiencia previa en el ramo..Ramo de donde proviene;Especificar ramo;Cual es la Principal razon trabaja en rubro;Especifique razon estar en rubro;Salario mensual sin propina;Rango sal mens sin propina;Cuanto gana hora/dia;Propina mes/temp alta;Propina mes/temp baja;Estoy activamente buscando otras;El ano que viene voy a  buscar otro trabajo;Voy a cambiar de trabajo a primera oportunidad;Tengo la intencion de renunciar;Motivo principal por el que esta buscando;Me sentiria culpable;Siento una responsabilidad;Si tuviera una oferta;Creo que no podria;Aunque fuera ventajoso;Esta empresa se merece;Seria muy feliz si;Realmente siento los;Esta empresa significa;En esta empresa me;Siento amor por mi empresa;Me gusta la tarea que ;Estoy satisfecho con las posibilidades;Estoy satisfecho con mi trabajo;Mi salario me satisface;Estoy satisfecho con cantidad de horas;Limpieza, iluminacion ventilacion;El entorno fisico y el espacio;Los medios materiales que tengo;En mi empresa tengo satisfactorias oportunidades;Estoy satisfecho con la formacion;La forma en que se lleva a cabo la negociacion;La supervision que ejercen sobre mi;Estoy satisfecho de como mi empresa cumple el convenio;Estoy satisfecho con la estabilidad;Estoy satisfecho con el grado de participacion;Me gusta la forma en que mis superiores juzgan;Me satisface mi capacidad actual;Mi empresa me trata con buena jusicia;Estoy contento con el apoyo;Me satisface mi actual grado;Estoy satisfecho con las relaciones;Estoy satisfecho con los incentivos;Estoy contento con el nivel;Estoy satisfecho con mi jornada;Estoy satisfecho con las normas de seguridad;Satisfaccion Global
262;Maldonado;Restaurante;31;Hombre;33;Si;0;0;OtroPais;Argentina;1986;Universitaria(Incompleta);Ninguno;99;Si;3;;100;No;99;99;Escrito;A termino zafra;4;1;Si;1;99;Turno fijo diurno;NULL;1;56;99;99;No;5;APROVECHA LA TEMPORADA LUEGO VIAJA;No;No;22;Alimentos y bebidas/ Sala-Restaurantes;22.8.;Otro       ;Si, todos los niveles;11;Turismo; ;Siempre quise;99;NULL;7;99;30000;NULL;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;99;Totalmente desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Moderadamente de acuerdo;Moderadamente desacuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
263;Maldonado;Restaurante;50;Hombre;30;Si;1;0;Uruguay;; ;MediaSecundaria(Incompleta);Ninguno;99;Si;1;;100;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno fijo diurno;NULL;1;48;99;99;Si;99;99;No;No;20;Alimentos y bebidas/ Cocina;20.16.;Chef       ;Si, nivel inferior;10;99;NULL;Siempre quise;99;NULL;2;99;6000;1550;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;99;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente de acuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo
264;Maldonado;Restaurante;50;Mujer;30;Si;0;1;OtroPais;Argentina;2019;Universitaria(Completa);Ninguno;99;No;99;;99;No;99;99;Escrito;A termino meses;3;1;Si;1;99;Turno fijo diurno;NULL;1;48;99;99;No;1;99;No;No;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;Generalmente no;1;99;NULL;Siempre quise;99;NULL;4;99;20000;6000;DefinitivamanteSi;Tal vez Si;Tal vez Si;Tal vez No;Trabajo acorde formacion;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Moderadamente de acuerdo;Ni decuedo ni desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;No sabe;En desacuerdo;No sabe;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
265;Maldonado;Restaurante;20;Hombre;31;Si;1;1;Uruguay;;2016;Universitaria(Completa);Ninguno;99;Si;3;4;100;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno fijo nocturno;NULL;1;44;99;99;No;2;99;No;No;22;Alimentos y bebidas/ Sala-Restaurantes;22.4.;Sommelier       ;Si, nivel inferior;10;Turismo; ;Otro;GUSTO Y PERMITE VIAJAR;NULL;6;99;45000;10000;Tal vez Si;Tal vez Si;Tal vez Si;DefinitivamenteNo;Trabajo acorde formacion;Moderadamente desacuerdo;Moderadamente desacuerdo;Totalmente de acuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
266;Maldonado;Restaurante;20;Hombre;28;Si;0;0;OtroPais;Argentina;2019;Universitaria(Completa);Ninguno;99;Si;3;6;100;Si;Otro;DOCENTE;Escrito;A termino zafra;3;1;Si;3;99;Turno fijo nocturno;NULL;2;56;99;99;No;5;TIENE EL VERANO LIBRE Y LE SIRVE LA TEMPORADA;No;Si;22;Alimentos y bebidas/ Sala-Restaurantes;22.8.;Otro;Si, mismo nivel;1;Otro;DOCENTE TEATRO/MUSICA Y VOLUNTARIO EN HOSTEL;Otro;PARA VIAJAR Y AHORRAR.GUSTO POR EL RESTAURANTE;NULL;NULL;99;30000;NULL;DefinitivamenteNo;Tal vez No;DefinitivamenteNo;DefinitivamenteNo;99;Moderadamente desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Moderadamente desacuerdo;Ni decuedo ni desacuerdo;Moderadamente de acuerdo;Ni decuedo ni desacuerdo;Moderadamente de acuerdo;Moderadamente desacuerdo;Ni decuedo ni desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
267;Maldonado;Restaurante;20;Hombre;42;Si;0;0;OtroPais;Argentina;2019;MediaCompleta;Ninguno;99;Si;3;;100;No;99;99;Escrito;A termino zafra;3;1;Si;1;99;Turno fijo nocturno;NULL;1;54;99;99;Si;99;99;No;No;20;Alimentos y bebidas/ Cocina;20.10.;Demi Chef      ;Si, todos los niveles;6;99;NULL;Otro;GUSTO;NULL;7;99;NULL;99;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;99;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Totalmente de acuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;No sabe;De acuerdo;No sabe;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
268;Maldonado;Restaurante;18;Hombre;30;Si;6;1;Uruguay;; ;MediaSecundaria(Incompleta);Ninguno;99;No;99;;99;No;99;99;Escrito;Mensual con menos jornada (3 dias/Otro horas); ;1;Si;1;99;Turno fijo diurno;NULL;1;48;99;99;Si;99;99;No;No;20;Alimentos y bebidas/ Cocina;20.5.;Cocinero       ;Si, todos los niveles;1;99;NULL;No sabe;99;NULL;6;99;31000;NULL;Tal vez Si;NULL;NULL;NULL;Trabajo acorde formacion;Ni decuedo ni desacuerdo;Totalmente de acuerdo;Moderadamente de acuerdo;Moderadamente de acuerdo;Moderadamente de acuerdo;Moderadamente de acuerdo;Moderadamente desacuerdo;Moderadamente de acuerdo;Ni decuedo ni desacuerdo;Moderadamente desacuerdo;Ni decuedo ni desacuerdo;De acuerdo;NULL;NULL;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;NULL;NULL;En desacuerdo;No sabe;;En desacuerdo;De acuerdo;De acuerdo;;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo
269;Maldonado;Restaurante;14;Mujer;60;Si;0;0;Uruguay;;1988;MediaCompleta;Ninguno;99;Si;3;;4;No;99;99;Verbal;Permanente;99;1;Si;1;99;Horario Cortado;NULL;1;48;99;99;Si;99;99;Si;Si;22;Alimentos y bebidas/ Sala-Restaurantes;22.5.;Maitre (Supervisor)      ;Generalmente no;20;99;NULL;Siempre quise;99;NULL;NULL;99;NULL;99;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;99;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
270;Maldonado;Restaurante;14;Mujer;51;No;1;2;Uruguay;; ;MediaCompleta;UTU-Turismo;99;Si;3;;72;No;99;99;Escrito;Permanente;99;1;Si;1;99;Horario Cortado;NULL;1;40;99;99;Si;99;99;No;No sabe, no contesta;20;Alimentos y bebidas/ Cocina;20.5.;Cocinero       ;Generalmente no;8;99;NULL;Siempre quise;99;NULL;7;99;NULL;99;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;99;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;NULL;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
271;Maldonado;Restaurante;350;Hombre;42;Si;3;1;Uruguay;;2012;MediaCompleta;Ninguno;99;Si;1;;24;No;99;99;Verbal;Permanente;99;1;Si;1;99;Otro;CORTADO EN TEMPORADA Y EN INVIERNO DIURNO;1;44;99;99;Si;99;99;No;No;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;Generalmente no;8;99;NULL;Otro;NUNCA PENSO, ESTUDIO OTRA COSA. LA VIDA LA TRAJO Y SE SIENTE COMODA Y LE GUSTA;NULL;7;99;2000;1000;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;99;Totalmente desacuerdo;Moderadamente de acuerdo;Totalmente desacuerdo;Moderadamente desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Moderadamente de acuerdo;Moderadamente de acuerdo;Ni decuedo ni desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
272;Maldonado;Restaurante;350;Hombre;49;Si;1;1;Uruguay;;2008;TecinaSuperior(Incompleta);Ninguno;99;Si;2;3;100;No;99;99;Escrito;Permanente;99;1;Si;1;99;Horario Cortado;NULL;1;44;99;99;Si;99;99;No;Si;20;Alimentos y bebidas/ Cocina;20.18;Jefe de cocina     ;Si, todos los niveles;2;99;NULL;Otro;AMA LO QUE HACE;NULL;6;99;NULL;99;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;99;Ni decuedo ni desacuerdo;Totalmente de acuerdo;Moderadamente desacuerdo;Totalmente desacuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Moderadamente de acuerdo;Moderadamente desacuerdo;Totalmente de acuerdo;Totalmente desacuerdo;Moderadamente desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;No sabe;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;NULL;De acuerdo;De acuerdo;De acuerdo;De acuerdo
273;Maldonado;Restaurante;29;Hombre;33;Si;0;0;Uruguay;; ;MediaSecundaria(Incompleta);UTU-Turismo;99;Si;3;;100;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno fijo nocturno;NULL;1;49;99;99;Si;99;99;No;Si;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;Si, mismo nivel;2;99;NULL;Otro;ME GUSTA;NULL;4;99;17050;14300;Tal vez Si;Tal vez Si;Tal vez No;Tal vez No;Mejorara ingresos;Moderadamente desacuerdo;Moderadamente desacuerdo;Totalmente desacuerdo;Moderadamente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Moderadamente de acuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Moderadamente desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
274;Maldonado;Restaurante;50;Hombre;23;Si;3;1;Uruguay;; ;MediaCompleta;Ninguno;99;Si;2;;72;No;99;99;Escrito;Permanente;99;1;Si;1;99;Horario Cortado;NULL;1;70;99;99;Si;99;99;No;No sabe, no contesta;22;Alimentos y bebidas/ Sala-Restaurantes;22.8.;Otro       ;Generalmente no;1;99;NULL;No encontre mejor opcion;99;NULL;7;99;NULL;99;DefinitivamenteNo;NULL;NULL;NULL;99;NULL;NULL;NULL;NULL;NULL;Totalmente de acuerdo;NULL;NULL;NULL;NULL;NULL;De acuerdo;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;De acuerdo
275;Maldonado;Restaurante;29;Hombre;44;Si;1;0;Uruguay;; ;MediaSecundaria(Incompleta);Ninguno;99;No;99;;99;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno fijo nocturno;NULL;1;45;99;99;Si;99;99;No;No;20;Alimentos y bebidas/ Cocina;20.2.;Ayudante de cocina     ;Si, de nivel superior;1;99;NULL;Otro;ME GUSTA;NULL;6;99;5000;3000;DefinitivamanteSi;DefinitivamanteSi;DefinitivamenteNo;DefinitivamenteNo;Trabajo acorde formacion;Moderadamente desacuerdo;Moderadamente de acuerdo;Moderadamente desacuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Totalmente de acuerdo;Totalmente desacuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;No sabe;De acuerdo;No sabe;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo
276;Maldonado;Restaurante;50;Hombre;23;No;0;1;Uruguay;; ;MediaSecundaria(Incompleta);Ninguno;99;Si;6;;3;No;99;99;Escrito;Permanente;99;1;Si;1;99;Horario Cortado;NULL;1;44;99;99;Si;99;99;No;No;19;Alimentos y bebidas/Bar;19.1.;Ayudante de bar     ;Generalmente no;1;99;NULL;No sabe;99;NULL;4;99;NULL;99;Tal vez No;NULL;NULL;NULL;99;Totalmente de acuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Moderadamente de acuerdo;Moderadamente de acuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Moderadamente de acuerdo;Ni decuedo ni desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
277;Maldonado;Restaurante;50;Mujer;25;Si;1;0;Uruguay;; ;MediaCompleta;Ninguno;99;No;99;;99;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno fijo diurno;NULL;2;56;99;99;Si;99;99;No;No;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;Si, todos los niveles;1;Otro;VENTAS;Siempre quise;99;NULL;4;99;31000;15500;DefinitivamenteNo;NULL;NULL;NULL;99;Totalmente desacuerdo;Moderadamente de acuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Totalmente de acuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Totalmente de acuerdo;Ni decuedo ni desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;No sabe;De acuerdo;No sabe;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo
278;Maldonado;Hotel;68;Hombre;60;Si;3;2;Uruguay;; ;MediaCompleta;Ninguno;99;Si;2;;10;No;99;99;Verbal;No tengo contrato; ;1;Si;1;99;Otro;HACE EL HORARIO QUE DESEA;1;40;99;99;Si;99;99;No;Si;5;Gerencia general - apoyo;5.2;Gerente general      ;Generalmente no;27;99;NULL;Otro;LA VIDA LO LLEVO, MUY PEQUENO SALIO A TRABAJAR Y SE VINCULO AL RUBRO.;NULL;9;99;NULL;99;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;DefinitivamanteSi;Teme quedar sin empleo0;Totalmente desacuerdo;Totalmente de acuerdo;Totalmente desacuerdo;Totalmente de acuerdo;Totalmente desacuerdo;Totalmente de acuerdo;Totalmente desacuerdo;Moderadamente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Moderadamente de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;No sabe;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
279;Maldonado;Hotel;68;Mujer;32;Si;1;1;Uruguay;; ;Universitaria(Incompleta);Ninguno;99;No;99;;99;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno fijo diurno;NULL;1;48;99;99;Si;99;99;No;No;12;Habitaciones Recepcion;12.2.;Recepcionista       ;Generalmente no;3;99;NULL;Otro;ENTRO DE CASUALIDAD Y LE GUSTO;NULL;7;99;3000;1000;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;99;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
280;Maldonado;Hotel;68;Hombre;24;Si;1;1;OtroPais;Venezuela;2018;Universitaria(Completa);Ninguno;99;Si;2;;48;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno rotativo exceoto noche;NULL;2;48;99;99;Si;99;99;No;No;4;Animacion y recreacion;4.1.;Animador/Recreadora       ;Generalmente no;1;99;NULL;Siempre quise;99;NULL;7;99;2000;700;DefinitivamanteSi;Tal vez Si;DefinitivamenteNo;DefinitivamenteNo;Teme quedar sin empleo;Totalmente desacuerdo;Moderadamente de acuerdo;Ni decuedo ni desacuerdo;Moderadamente desacuerdo;Moderadamente de acuerdo;Totalmente de acuerdo;Totalmente desacuerdo;Moderadamente de acuerdo;Totalmente de acuerdo;Moderadamente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;No sabe;De acuerdo;No sabe;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
281;Maldonado;Hotel;37;Hombre;46;Si;3;0;Uruguay;; ;MediaSecundaria(Incompleta);UTU-Turismo;99;No;99;;99;No;99;99;Verbal;Permanente;99;1;Si;1;99;Turno rotativo exceoto noche;NULL;1;44;99;99;Si;99;99;No;Si;12;Habitaciones Recepcion;12.2.;Recepcionista       ;Generalmente no;10;Turismo; ;Siempre quise;99;NULL;NULL;99;NULL;99;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;99;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;NULL
282;Maldonado;Hotel;33;Hombre;44;Si;3;2;Uruguay;; ;MediaSecundaria(Incompleta);Otro.Especificar;CURSO TURISMO CORTO INDEPENDIENTE;No;99;;99;No;99;99;Verbal;NULL;NULL;1;Si;1;99;Horario Cortado;NULL;2;44;99;99;Si;99;99;No;Si;7;Gestion humana - apoyo ;7.5.;Otro;Si, nivel inferior;28;Primer Trabajo; ;Otro;VINO POR UN TIEMPO Y SE QUEDO, DE DIO ASI;NULL;7;99;NULL;99;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;99;Totalmente desacuerdo;Totalmente de acuerdo;Totalmente desacuerdo;Totalmente de acuerdo;Totalmente desacuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
